demand_el;generation_pv_normalised
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,004858949
1,21;0,008736506
1,21;0,007611222
1,21;0,004573438
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,004533949
1,21;0,03531108
1,633685056;0,078231534
1,951448848;0,074555398
2,163291376;0,04749858
2,26921264;0,031893466
2,26921264;0,011631392
2,163291376;0
1,951448848;0
1,633685056;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,295724432
1,21;0,492102273
1,633685056;0,612116477
1,951448848;0,626605114
2,163291376;0,549957386
2,26921264;0,453707386
2,26921264;0,324474432
2,163291376;0,165042614
1,951448848;0
1,633685056;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,02934375
1,21;0,006068892
1,633685056;0,075150568
1,951448848;0,230809659
2,163291376;0,171349432
2,26921264;0,5453125
2,26921264;0,117646307
2,163291376;0,024798295
1,951448848;0
1,633685056;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,005119318
2,692897696;0,073321023
3,805070968;0,100009943
4,546519816;0,162798295
4,91724424;0,062234375
4,91724424;0,101978693
4,546519816;0,013564347
3,805070968;0
2,692897696;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,00431179
4,016913496;0,012143466
6,122098618;0,017732955
7,525555366;0,013861506
8,22728374;0,0106875
8,22728374;0,003760938
7,525555366;0
7,525555366;0
4,016913496;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,082586648
1,21;0,142021307
1,21;0,084637784
1,21;0,432329545
1,21;0,450639205
1,21;0,209928977
1,21;0,192627841
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,009666477
1,21;0,027237216
1,21;0,041599432
1,21;0,035190341
1,21;0,02959233
1,21;0,012606534
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,006229261
1,633685056;0,012291761
1,951448848;0,017683239
2,163291376;0,016292614
2,26921264;0,015269886
2,26921264;0,005647159
2,163291376;0
1,951448848;0
1,633685056;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,008247301
1,633685056;0,020933239
1,951448848;0,031900568
2,163291376;0,029919034
2,26921264;0,02703267
2,26921264;0,009294034
2,163291376;0
1,951448848;0
1,633685056;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,187741477
1,21;0,3771875
1,633685056;0,553011364
1,951448848;0,720553977
2,163291376;0,467471591
2,26921264;0,154744318
2,26921264;0,079818182
2,163291376;0,024059659
1,951448848;0
1,633685056;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,009465625
1,21;0,010246591
2,692897696;0,037730114
3,805070968;0,246803977
4,546519816;0,1341875
4,91724424;0,181036932
4,91724424;0,108859375
4,546519816;0,03006392
3,805070968;0
2,692897696;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,349602273
4,016913496;0,662940341
6,122098618;0,639943182
7,525555366;0,136254261
8,22728374;0,065677557
8,22728374;0,081039773
7,525555366;0,006179972
7,525555366;0
4,016913496;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,012276847
1,21;0,044339489
1,21;0,053897727
1,21;0,058326705
1,21;0,053088068
1,21;0,040950284
1,21;0,00612358
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,00677571
1,21;0,016113636
1,21;0,068302557
1,21;0,111426136
1,21;0,118322443
1,21;0,051142045
1,21;0,023169034
1,21;0,002684233
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,097035511
1,21;0,277159091
1,633685056;0,382713068
1,951448848;0,418423295
2,163291376;0,389048295
2,26921264;0,324602273
2,26921264;0,202741477
2,163291376;0,078441761
1,951448848;0
1,633685056;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,002528977
1,21;0,01571875
1,633685056;0,048225852
1,951448848;0,062569602
2,163291376;0,048913352
2,26921264;0,05140625
2,26921264;0,02871875
2,163291376;0,003785369
1,951448848;0
1,633685056;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,200909091
1,21;0,337713068
1,633685056;0,479403409
1,951448848;0,560241477
2,163291376;0,510951705
2,26921264;0,415482955
2,26921264;0,278778409
2,163291376;0,103380682
1,951448848;0
1,633685056;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,317215909
1,21;0,506704545
2,692897696;0,540724432
3,805070968;0,323366477
4,546519816;0,397485795
4,91724424;0,419318182
4,91724424;0,230582386
4,546519816;0,082039773
3,805070968;0
2,692897696;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,092649148
1,21;0,188693182
4,016913496;0,239644886
6,122098618;0,235028409
7,525555366;0,236150568
8,22728374;0,189204545
8,22728374;0,097291193
7,525555366;0,021659091
7,525555366;0
4,016913496;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,013535938
1,21;0,08597017
1,21;0,11146733
1,21;0,178252841
1,21;0,180965909
1,21;0,155099432
1,21;0,076539773
1,21;0,017548295
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,003874716
1,21;0,009707813
1,21;0,01352017
1,21;0,01572017
1,21;0,011116761
1,21;0,004930114
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,186477273
1,21;0,321605114
1,633685056;0,483423295
1,951448848;0,551761364
2,163291376;0,515923295
2,26921264;0,408267045
2,26921264;0,242045455
2,163291376;0,065589489
1,951448848;0
1,633685056;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,267556818
1,21;0,468295455
1,633685056;0,604076705
1,951448848;0,665795455
2,163291376;0,629147727
2,26921264;0,487230114
2,26921264;0,381079545
2,163291376;0,184943182
1,951448848;0
1,633685056;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,315028409
1,21;0,513181818
1,633685056;0,670028409
1,951448848;0,724360795
2,163291376;0,648707386
2,26921264;0,528721591
2,26921264;0,402372159
2,163291376;0,194119318
1,951448848;0
1,633685056;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,265681818
1,21;0,482514205
2,692897696;0,619360795
3,805070968;0,68125
4,546519816;0,608338068
4,91724424;0,462471591
4,91724424;0,296988636
4,546519816;0,115200284
3,805070968;0
2,692897696;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,001882244
1,21;0,015411932
4,016913496;0,037636364
6,122098618;0,045230114
7,525555366;0,047973011
8,22728374;0,036012784
8,22728374;0,019139205
7,525555366;0,004642898
7,525555366;0
4,016913496;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,103698864
1,21;0,167457386
1,21;0,032559659
1,21;0,009911932
1,21;0,038775568
1,21;0,290497159
1,21;0,360951705
1,21;0,113291193
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,152713068
1,21;0,219204545
1,21;0,314417614
1,21;0,3878125
1,21;0,267727273
1,21;0,219161932
1,21;0,134802557
1,21;0,035927557
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,004024858
1,633685056;0,007819744
1,951448848;0,014089631
2,163291376;0,015392045
2,26921264;0,01022571
2,26921264;0,00479858
2,163291376;0
1,951448848;0
1,633685056;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,003880824
1,21;0,023255682
1,633685056;0,044210227
1,951448848;0,049514205
2,163291376;0,043340909
2,26921264;0,046735795
2,26921264;0,04050142
2,163291376;0,014275568
1,951448848;0
1,633685056;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,09315483
1,21;0,107586648
1,633685056;0,247982955
1,951448848;0,204090909
2,163291376;0,093965909
2,26921264;0,046930398
2,26921264;0,036835227
2,163291376;0,020110795
1,951448848;0
1,633685056;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,005586364
1,21;0,015862216
2,692897696;0,152130682
3,805070968;0,314872159
4,546519816;0,128877841
4,91724424;0,085627841
4,91724424;0,104340909
4,546519816;0,059393466
3,805070968;0
2,692897696;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,02593892
1,21;0,116958807
4,016913496;0,186988636
6,122098618;0,202698864
7,525555366;0,140809659
8,22728374;0,112160511
8,22728374;0,089464489
7,525555366;0,03606108
7,525555366;0
4,016913496;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,211107955
1,21;0,40609375
1,21;0,444318182
1,21;0,328224432
1,21;0,220184659
1,21;0,142005682
1,21;0,136984375
1,21;0,060507102
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,013495028
1,21;0,183224432
1,21;0,232642045
1,21;0,137697443
1,21;0,042704545
1,21;0,148778409
1,21;0,08975142
1,21;0,049019886
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0,233011364
1,21;0,461434659
1,633685056;0,6315625
1,951448848;0,709318182
2,163291376;0,5775
2,26921264;0,471264205
2,26921264;0,274119318
2,163291376;0,097075284
1,951448848;0
1,633685056;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
1,21;0
